northing_m	easting_m	altitude_m
4601708.608	374492.4347	0.3481
4601709.602	374492.9571	0.3581
4601709.5	374494.3399	0.3521
4601708.575	374494.9639	0.3601
4601706.96	374494.1852	0.3381
4601705.853	374492.8039	0.3361
4601695.291	374499.8271	0.2962
4601694.961	374498.7451	0.3392
4601695.847	374498.0469	0.3302
4601696.886	374498.971	0.3101
4601696.916	374500.3413	0.3471
4601677.739	374472.4189	0.283
4601676.614	374472.6651	0.299
4601677.574	374473.4152	0.3
4601676.797	374474.1768	0.318
4601678.09	374474.418	0.3119
4601662.062	374466.3231	0.2593
4601661.568	374465.7999	0.2704
4601662.276	374465.0573	0.2614
4601663.318	374465.005	0.2734
4601663.526	374466.0346	0.2793
4601661.389	374479.3621	0.2621
4601660.504	374478.9898	0.2311
4601660.228	374478.0518	0.2421
4601661.243	374477.4389	0.2621
4601662.151	374478.1798	0.2601
4601504.529	374362.3431	0.1219
4601504.81	374361.2666	0.1299
4601505.673	374361.3356	0.1249
4601506.609	374362.4243	0.1228
4601505.805	374363.7944	0.1198
4601517.093	374356.4019	0.1168
4601517.721	374356.9393	0.1118
4601517.263	374357.6987	0.1118
4601516.343	374357.9389	0.1188
4601518.068	374356.0954	0.0998
4601517.82	374370.76	0.1105
4601517.386	374371.4	0.1045
4601518.249	374371.2106	0.1205
4601518.788	374370.677	0.1075
4601518.874	374369.778	0.1205
4601487.746	374342.0038	0.1525
4601488.322	374341.3278	0.1506
4601489.281	374341.881	0.1495
4601489.112	374342.7764	0.1705
4601488.457	374343.5723	0.1705
4601470.715	374334.7707	0.202
4601471.394	374334.7862	0.1899
4601470.922	374335.5915	0.1899
4601469.918	374335.5736	0.1949
4601469.214	374334.8489	0.204
4601486.934	374327.0603	0.1649
4601487.784	374327.5492	0.1648
4601487.432	374328.6447	0.1588
4601486.454	374329.0042	0.1518
4601485.387	374328.2407	0.1579
4601420.971	374399.1113	0.2404
4601421.108	374398.512	0.2374
4601422.081	374398.4833	0.2454
4601422.159	374399.5634	0.2533
4601431.648	374404.8578	0.2681
4601432.4	374405.4302	0.2971
4601431.675	374406.4773	0.3031
4601430.492	374405.7731	0.2741
4601430.616	374404.6981	0.2621
4601428.978	374392.0954	0.2364
4601429.804	374392.5031	0.2524
4601429.449	374393.3468	0.2454
4601428.337	374393.4092	0.2364
4601428.364	374392.0446	0.2434
